id,name,alias,type,status,relationship,geometry
AdavaleBasin,Adavale Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.925537922 -3000554.2315877248, 16346403.748648955 -23.572884777307745))"
AnakieProvince,Anakie Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((146.85069934800003 -23.704934990304817, 148.02838695900004 -20.863771789371395))"
AuburnSubprovince,Auburn Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.01641689400003 -26.070166308254553, 151.10030673000006 -23.762619344303516))"
AwoongaSubprovince,Awoonga Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.14050422499997 -24.261566344292525, 151.333964819 -23.881427799300855))"
BarnardProvince,Barnard Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.90324141899998 -17.661333071453896, 146.14748301099996 -17.075849761469755))"
BarrolkaDepression,Barrolka Depression,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((141.25224942199998 -26.951228832237117, 142.29678892200002 -25.725580599261544))"
BeenleighSubprovince,Beenleigh Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.677294512 -3240273.3920767605, 17092707.7213762 -27.459484110227358))"
BelyandoBasin,Belyando Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.379313517 -23.386533958311954, 146.76581785400003 -20.98733328436835))"
BerserkerSubprovince,Berserker Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.34094557799995 -23.504141911309308, 150.82622878400002 -23.005043710320578))"
BowenBasin,Bowen Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.498144895 -3110416.623516571, 16779517.87637011 -20.52932777537966))"
BundockBasin,Bundock Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.138247407 -19.659951328401565, 144.791907949 -19.222028773412777))"
BurdekinBasin,Burdekin Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((145.807558136 -19.897107714395528, 146.96082131599997 -19.078033866416497))"
BurketownDepression,Burketown Depression,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.006036591 -2088327.6377224422, 15579505.65008745 -17.601823367455506))"
CalenBasin,Calen Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((148.61689898099996 -21.13150952736484, 149.01962275699998 -20.78589281637332))"
CallideBasin,Callide Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.49900443599995 -24.32601752229114, 150.69230587799996 -24.187844747294104))"
CamelCreekSubprovince,Camel Creek Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.83515774700004 -19.582016267403556, 146.183641363 -18.07901700344271))"
CampwynSubprovince,Campwyn Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((148.401701516 -2577960.381939677, 16682506.51706164 -20.061633193391394))"
CanobieDepression,Canobie Depression,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.30758944700005 -19.823524789397403, 140.78017857400005 -18.75505010942492))"
CapeYork-OriomoProvince,Cape York-Oriomo Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.11083800400002 -1211327.8574840403, 15896421.754636463 -10.594299999658519))"
CapellaSubprovince,Capella Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.33803100100002 -2817755.8263468216, 16798632.33084232 -23.487362761309633))"
CarpentariaBasin,Carpentaria Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99469999999997 -2230128.757394884, 15716205.07274101 -10.70813661065504))"
ChartersTowersProvince,Charters Towers Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.12138905300003 -2176163.5387834827, 16350864.250068484 -18.783460869424157))"
ChillagoeSubprovince,Chillagoe Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.13566926600004 -1878999.971655168, 16052129.214002581 -16.79833296147736))"
Clarence-MoretonBasin,Clarence-Moreton Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.06181100000003 -28.447541933209177, 153.190499609 -26.41809057824758))"
ClarkeRiverBasin,Clarke River Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.83515774700004 -19.582016267403556, 145.516706399 -19.14728525541468))"
CoastalSubprovince,Coastal Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.966909773 -2758683.3444633214, 16869908.10643236 -23.55598322430809))"
ConnorsSubprovince,Connors Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.11812992399996 -2566337.603297379, 16667325.558392592 -19.30506372641065))"
CooperBasin,Cooper Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.36121587499997 -28.835491821202268, 144.10604249300002 -24.72227146628256))"
CraigileeSubprovince,Craigilee Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.86118761 -23.35103503731276, 150.15815497999995 -23.011145357320476))"
CroydonProvince,Croydon Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.15134722599998 -18.99609928441863, 142.97884623200002 -17.936644271446543))"
DrummondBasin,Drummond Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.154775889 -25.776666877260514, 149.14189286700002 -20.332740999384555))"
EasternSubprovince,Eastern Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((139.704475945 -22.089637193341837, 140.955165428 -19.325583782410124))"
ErebusSubprovince,Erebus Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.70268339999996 -2541097.102946749, 16708521.731333436 -23.69021181230514))"
EromangaBasin,Eromanga Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99789999999996 -28.999099999199398, 147.84893812300004 -18.865479999422018))"
EskBasin,Esk Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.412610987 -27.390100399228682, 152.614238795 -25.133776500273832))"
EtheridgeProvince,Etheridge Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.94675887200003 -1874182.08859357, 16041936.717713298 -16.80246901147725))"
ForkLagoonsSubprovince,Fork Lagoons Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.612568914 -23.704934990304817, 147.91349483800002 -23.33698712131304))"
GalileeBasin,Galilee Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((141.133538219 -2313078.1333463374, 16255236.90584023 -20.191555848388095))"
GamboolaBasin,Gamboola Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.512987941 -16.647796774481495, 143.854098508 -16.297683610491188))"
GeorginaBasin,Georgina Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99559999999997 -24.62116747728475, 141.31856331100005 -18.603222947428876))"
GilbertonBasin,Gilberton Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.61965299999997 -19.248065999412105, 143.766842 -19.1175139994155))"
GrantleighSubprovince,Grantleigh Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((149.77256669899998 -2707914.9344717017, 16691977.711251935 -22.976999355321265))"
GraveyardCreekSubprovince,Graveyard Creek Subprovince,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.138247407 -19.659951328401565, 144.99896092300003 -18.90360330842105))"
GreenvaleProvince,Greenvale Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((144.31641028800004 -19.420306624407694, 145.316030781 -17.862612619448498))"
GympieProvince,Gympie Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.75744009899995 -3083902.7141949795, 17038495.995536838 -24.417161153289126))"
InorunieBasin,Inorunie Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.63616240600004 -18.3476961594356, 142.88243662000002 -18.181133889440034))"
IpswichBasin,Ipswich Basin,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((152.677294512 -28.35717558021077, 153.28597785099998 -27.483292716226906))"
IronRangeProvince,Iron Range Province,,Province,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.99354688799997 -13.96965109855739, 143.62633022900002 -12.341251975605537))"
