id,name,alias,type,status,relationship,geometry
TexasSubprovince,Texas Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((150.99674043799996 -29.178490329196265, 152.074913469 -27.93914071721839))"
WesternSubprovince,Western Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((138.369406638 -2033902.1711317198, 15418347.84262357 -18.092924678442394))"
YaringaSubprovince,Yaringa Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((139.03702107599997 -22.11392913834129, 139.40886681400002 -20.79347179237313))"
YarramanSubprovince,Yarraman Subprovince,,SubProvince,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((151.140757567 -27.437689619227807, 152.33167780099993 -26.01358220725568))"
BarrolkaDepression,Barrolka Depression,,Depression,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((141.25224942199998 -26.951228832237117, 142.29678892200002 -25.725580599261544))"
BurketownDepression,Burketown Depression,,Depression,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.006036591 -2088327.6377224422, 15579505.65008745 -17.601823367455506))"
CanobieDepression,Canobie Depression,,Depression,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((140.30758944700005 -19.823524789397403, 140.78017857400005 -18.75505010942492))"
MossmanOrogen,Mossman Orogen,,Orogen,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((143.81758998400005 -2095364.398538449, 16291950.964571105 -14.166447269551671))"
NewEnglandOrogen,New England Orogen,,Orogen,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((147.11812992399996 -3240273.3920767605, 17092707.7213762 -19.30506372641065))"
ThomsonOrogen,Thomson Orogen,,Orogen,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.9983 -2204483.256083215, 16350864.250068484 -18.783460869424157))"
NorthAustralianCraton,North Australian Craton,,Craton,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((137.99469999999997 -1936993.1601743835, 15896421.754636463 -10.690817137655586))"
WarrabinTrough,Warrabin Trough,,Trough,,,"<http://www.opengis.net/def/crs/EPSG/0/4326> POLYGON((142.59217451100005 -2779605.1600978863, 15998589.460477019 -24.126574143295507))"
